datetime,value
2018-04-21 15:17:07.674,online
2018-04-21 15:17:17.670,online
2018-04-21 15:17:27.654,online
2018-04-21 15:17:37.671,online
2018-04-21 15:17:47.663,online
2018-04-21 15:17:57.672,online
2018-04-21 15:18:07.675,online
2018-04-21 15:18:17.672,online
2018-04-21 15:18:27.674,online
2018-04-21 15:18:37.674,online
2018-04-21 15:18:47.671,online
2018-04-21 15:18:57.671,online
2018-04-21 15:19:07.671,online
2018-04-21 15:19:17.671,online
2018-04-21 15:19:27.671,online
2018-04-21 15:19:37.670,online
2018-04-21 15:19:47.673,online
2018-04-21 15:19:57.670,online
2018-04-21 15:20:07.670,online
2018-04-21 15:20:17.671,online
2018-04-21 15:20:27.672,online
2018-04-21 15:20:37.672,online
2018-04-21 15:20:47.671,online
2018-04-21 15:20:57.664,online
2018-04-21 15:21:17.668,offline
2018-04-21 15:21:27.670,online
2018-04-21 15:21:37.670,online
2018-04-21 15:21:47.674,online
2018-04-21 15:21:57.715,online
2018-04-21 15:22:07.696,online
2018-04-21 15:22:17.673,online
2018-04-21 15:22:27.674,online
2018-04-21 15:22:37.670,online
2018-04-21 15:22:47.673,online
2018-04-21 15:22:57.678,online
2018-04-21 15:23:07.677,online
2018-04-21 15:23:27.667,offline
2018-04-21 15:23:37.670,online
2018-04-21 15:23:47.673,online
2018-04-21 15:23:57.736,online
2018-04-21 15:24:07.671,online
2018-04-21 15:24:17.701,online
2018-04-21 15:24:27.736,online
2018-04-21 15:24:37.669,online
2018-04-21 15:24:47.718,online
2018-04-21 15:24:57.754,online
2018-04-21 15:25:07.672,online
2018-04-21 15:25:17.720,online
2018-04-21 15:25:27.760,online
2018-04-21 15:25:37.674,online
2018-04-21 15:25:47.725,online
2018-04-21 15:25:57.759,online
2018-04-21 15:26:07.670,online
2018-04-21 15:26:17.729,online
2018-04-21 15:26:27.812,online
2018-04-21 15:26:37.675,online
2018-04-21 15:26:47.779,online
2018-04-21 15:26:57.821,online
2018-04-21 15:27:07.759,online
2018-04-21 15:27:17.963,online
2018-04-21 15:27:27.727,online
2018-04-21 15:27:37.901,online
2018-04-21 15:27:47.803,online
2018-04-21 15:27:57.731,online
2018-04-21 15:28:07.771,online
2018-04-21 15:28:17.798,online
2018-04-21 15:28:27.735,online
2018-04-21 15:28:37.708,online
2018-04-21 15:28:47.664,online
2018-04-21 15:28:57.806,online
2018-04-21 15:29:07.748,online
2018-04-21 15:29:17.791,online
2018-04-21 15:29:27.818,online
2018-04-21 15:29:37.739,online
2018-04-21 15:29:47.781,online
2018-04-21 15:30:07.667,offline
2018-04-21 15:30:17.726,online
2018-04-21 15:30:27.764,online
2018-04-21 15:30:37.738,online
2018-04-21 15:30:47.793,online
2018-04-21 15:30:57.831,online
2018-04-21 15:31:07.764,online
2018-04-21 15:31:27.667,offline
2018-04-21 15:31:47.667,offline
2018-04-21 15:32:07.620,offline
2018-04-21 15:32:27.668,offline
2018-04-21 15:32:47.668,offline
2018-04-21 15:33:07.660,offline
2018-04-21 15:33:27.668,offline
2018-04-21 15:33:47.668,offline
2018-04-21 15:34:07.668,offline
2018-04-21 15:34:27.668,offline
2018-04-21 15:34:47.669,offline
2018-04-21 15:35:07.667,offline
2018-04-21 15:35:27.668,offline
2018-04-21 15:35:47.668,offline
2018-04-21 15:36:07.668,offline
2018-04-21 15:36:17.791,online
2018-04-21 15:36:37.667,offline
2018-04-21 15:36:57.669,offline
2018-04-21 15:37:17.668,offline
2018-04-21 15:37:37.667,offline
2018-04-21 15:37:57.667,offline
2018-04-21 15:38:17.668,offline
2018-04-21 15:38:37.668,offline
2018-04-21 15:38:57.667,offline
2018-04-21 15:39:17.640,offline
2018-04-21 15:39:37.667,offline
2018-04-21 15:39:57.667,offline
2018-04-21 15:40:17.669,offline
2018-04-21 15:40:37.667,offline
2018-04-21 15:40:57.668,offline
2018-04-21 15:41:17.668,offline
2018-04-21 15:41:37.668,offline
2018-04-21 15:41:57.667,offline
2018-04-21 15:42:17.668,offline
2018-04-21 15:42:37.667,offline
2018-04-21 15:42:57.668,offline
2018-04-21 15:43:17.668,offline
2018-04-21 15:43:37.668,offline
2018-04-21 15:43:57.668,offline
2018-04-21 15:44:17.668,offline
